Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000dr6t,5,"Monday, November 12, 2012 10:55:14 UTC",-45.6800,-76.9579,4.7,10.00,43,"off the coast of Aisen, Chile"
uu,60004597,6,"Monday, November 12, 2012 10:43:32 UTC",40.0850,-111.4070,2.5,8.00,48,"Utah"
us,c000dr6h,9,"Monday, November 12, 2012 10:32:28 UTC",-24.0196,-179.9020,5.0,540.60,207,"south of the Fiji Islands"
us,c000dr5u,4,"Monday, November 12, 2012 08:45:45 UTC",9.7772,-84.2782,4.5,30.20,29,"Costa Rica"
us,c000dr4t,7,"Monday, November 12, 2012 07:26:04 UTC",52.1713,-131.2202,4.1,10.00,123,"Queen Charlotte Islands, Canada region"
us,c000dr4b,5,"Monday, November 12, 2012 06:50:44 UTC",52.1871,-131.4521,4.0,10.00,112,"Queen Charlotte Islands, Canada region"
us,c000dr3k,9,"Monday, November 12, 2012 06:05:26 UTC",14.4537,-91.9814,4.4,83.10,125,"Guatemala"
us,c000dr3p,7,"Monday, November 12, 2012 05:45:39 UTC",14.0772,-92.4315,4.3,35.10,31,"offshore Guatemala"
us,c000dr34,7,"Monday, November 12, 2012 05:07:15 UTC",-45.6237,-76.8311,4.9,13.60,37,"off the coast of Aisen, Chile"
pr,12317000,0,"Monday, November 12, 2012 04:55:30 UTC",18.5004,-68.2628,3.6,164.00,11,"Mona Passage, Dominican Republic"
us,c000dr30,4,"Monday, November 12, 2012 04:35:05 UTC",13.9303,-92.4201,4.3,19.60,26,"offshore Guatemala"
us,c000dr2j,6,"Monday, November 12, 2012 03:31:17 UTC",14.3323,-92.3513,4.7,34.90,195,"offshore Guatemala"
us,c000dr29,8,"Monday, November 12, 2012 03:02:59 UTC",14.1059,-92.2109,4.7,24.50,175,"offshore Guatemala"
ci,15243993,2,"Monday, November 12, 2012 02:45:45 UTC",35.9312,-117.6612,2.5,3.40,54,"Central California"
