Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10358771,3,"Wednesday, November 16, 2011 18:57:08 UTC",51.5142,-174.0868,2.8,11.80,11,"Andreanof Islands, Aleutian Islands, Alaska"
us,c0006swv,5,"Wednesday, November 16, 2011 17:10:51 UTC",35.4869,-96.7906,3.1,4.80,18,"Oklahoma"
ak,10358722,2,"Wednesday, November 16, 2011 16:32:35 UTC",59.7501,-153.5560,2.6,125.20,31,"Southern Alaska"
us,2011tia2,7,"Wednesday, November 16, 2011 16:24:14 UTC",14.0216,-92.5247,4.3,30.70,24,"offshore Guatemala"
uw,11161456,1,"Wednesday, November 16, 2011 14:56:40 UTC",48.5211,-119.9111,2.5,0.00,10,"Washington"
us,2011tiax,A,"Wednesday, November 16, 2011 14:02:14 UTC",-13.6933,-76.1931,4.6,52.00,52,"near the coast of central Peru"
ci,15076212,2,"Wednesday, November 16, 2011 13:59:59 UTC",32.1152,-115.2163,3.1,10.00,19,"Baja California, Mexico"
ak,10358695,2,"Wednesday, November 16, 2011 13:33:13 UTC",57.8219,-154.6439,2.5,68.80,13,"Kodiak Island region, Alaska"
ak,10358691,2,"Wednesday, November 16, 2011 13:24:00 UTC",63.2926,-151.8672,2.5,9.00,20,"Central Alaska"
ak,10358674,3,"Wednesday, November 16, 2011 11:37:27 UTC",52.3420,-166.7958,2.9,25.30,13,"Fox Islands, Aleutian Islands, Alaska"
ak,10358774,3,"Wednesday, November 16, 2011 11:35:05 UTC",52.3968,-166.8451,2.8,25.60,14,"Fox Islands, Aleutian Islands, Alaska"
ak,10358657,4,"Wednesday, November 16, 2011 11:15:19 UTC",57.7177,-153.8887,4.4,39.80,106,"Kodiak Island region, Alaska"
ak,10358655,2,"Wednesday, November 16, 2011 10:37:46 UTC",53.4274,-165.8106,2.5,21.30,18,"Fox Islands, Aleutian Islands, Alaska"
ak,10358650,3,"Wednesday, November 16, 2011 09:12:59 UTC",52.4079,-166.8789,2.7,25.50,10,"Fox Islands, Aleutian Islands, Alaska"
us,c0006srz,8,"Wednesday, November 16, 2011 09:07:25 UTC",47.4650,-115.8050,2.8,2.90, 0,"northern Idaho"
ak,10358642,2,"Wednesday, November 16, 2011 08:35:49 UTC",51.4686,-173.8127,3.2,39.00, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10358622,2,"Wednesday, November 16, 2011 06:06:53 UTC",63.2650,-150.5932,2.9,132.50,55,"Central Alaska"
ci,15076124,2,"Wednesday, November 16, 2011 05:48:11 UTC",32.5323,-115.6908,2.5,11.00,57,"Baja California, Mexico"
ak,10359593,2,"Wednesday, November 16, 2011 04:58:03 UTC",56.3192,-158.4112,2.8,86.40,13,"Alaska Peninsula"
us,c0006sng,A,"Wednesday, November 16, 2011 01:43:48 UTC",-17.5359,-173.6411,5.5,61.90,241,"Tonga"
pr,11320001,0,"Wednesday, November 16, 2011 01:41:20 UTC",18.6569,-67.0380,2.8,65.50,11,"Puerto Rico region"
us,c0006smz,7,"Wednesday, November 16, 2011 00:43:58 UTC",34.2010,141.4713,5.3,37.70,292,"off the east coast of Honshu, Japan"
us,c0006sm0,8,"Tuesday, November 15, 2011 23:42:28 UTC",-5.2999,140.2858,5.8,8.90,150,"Papua, Indonesia"
pr,11319002,0,"Tuesday, November 15, 2011 22:55:47 UTC",19.1478,-67.4188,3.0,21.70, 5,"Puerto Rico region"
nc,71681981,3,"Tuesday, November 15, 2011 21:52:45 UTC",36.7043,-121.3387,2.7,3.10,75,"Central California"
nc,71681961,5,"Tuesday, November 15, 2011 21:30:53 UTC",36.7027,-121.3337,3.0,3.20,83,"Central California"
us,c0006sh8,5,"Tuesday, November 15, 2011 20:28:50 UTC",48.4195,154.7388,4.8,58.30,243,"Kuril Islands"
pr,11319001,0,"Tuesday, November 15, 2011 19:53:06 UTC",18.8700,-64.0120,3.2,61.70, 5,"Virgin Islands region"
us,c0006sfu,5,"Tuesday, November 15, 2011 19:33:55 UTC",40.1227,50.1463,4.5,47.10,59,"Caspian Sea, offshore Azerbaijan"
hv,60283811,1,"Tuesday, November 15, 2011 19:02:27 UTC",19.1932,-155.4702,2.9,40.00,32,"Island of Hawaii, Hawaii"
us,c0006se7,7,"Tuesday, November 15, 2011 18:27:08 UTC",-0.9383,126.9073,5.0,51.80,85,"Molucca Sea"
